Model Name,Action,Source File,Target File,Score,Top 3 Candidates,Message
Talon Lashers,COPIED,portrait khymaera talon lashers.png,Talon Lashers.png,100,portrait khymaera talon lashers.png (100) | portrait mercenary ghordson basher.png (73) | portrait orgoth gnashers.png (70),'portrait khymaera talon lashers.png' → 'Talon Lashers.png'  (score 100)
Wyrmspine Cinderbacks,COPIED,portrait khymaera wyrmspine cinderbacks.png,Wyrmspine Cinderbacks.png,100,portrait khymaera wyrmspine cinderbacks.png (100) | portrait khymaera wyrmspine shadowmancers.png (62) | option khymaera hydrix back spineback.png (60),'portrait khymaera wyrmspine cinderbacks.png' → 'Wyrmspine Cinderbacks.png'  (score 100)
Wyrmspine Shadowmancers,COPIED,portrait khymaera wyrmspine shadowmancers.png,Wyrmspine Shadowmancers.png,100,portrait khymaera wyrmspine shadowmancers.png (100) | portrait khymaera shadowmancer scion.png (74) | portrait khymaera wyrmspine cinderbacks.png (64),'portrait khymaera wyrmspine shadowmancers.png' → 'Wyrmspine Shadowmancers.png'  (score 100)
"Bellighul, Master of Pain",COPIED,portrait mercenary bellighul master of pain.png,"Bellighul, Master of Pain.png",100,portrait mercenary bellighul master of pain.png (100) | portrait cygnar captain allister caine.png (58) | portrait cygnar journeyman lieutenant allister caine.png (58),"'portrait mercenary bellighul master of pain.png' → 'Bellighul, Master of Pain.png'  (score 100)"
"Nissak, Totem Huntress Champion",COPIED,portrait mercenary nissak totem huntress.png,"Nissak, Totem Huntress Champion.png",82,portrait mercenary nissak totem huntress.png (82) | Orgoth_Revenant-Champion.png (63) | Khador_Liegemen-Ursan-Champion.png (62),"'portrait mercenary nissak totem huntress.png' → 'Nissak, Totem Huntress Champion.png'  (score 82)"
"Horruskh, The Thousand Wraths",COPIED,portrait orgoth horruskh the thousand wraths.png,"Horruskh, The Thousand Wraths.png",100,portrait orgoth horruskh the thousand wraths.png (100) | Khador_The-Hounds.png (71) | Khador_The-Hounds-2.png (71),"'portrait orgoth horruskh the thousand wraths.png' → 'Horruskh, The Thousand Wraths.png'  (score 100)"
"Kishtaar, The Howling Silence",COPIED,portrait orgoth kishtaar the howling silence.png,"Kishtaar, The Howling Silence.png",100,portrait orgoth kishtaar the howling silence.png (100) | Khador_The-Hounds.png (67) | Khador_The-Hounds-2.png (67),"'portrait orgoth kishtaar the howling silence.png' → 'Kishtaar, The Howling Silence.png'  (score 100)"
"Oriax, the Soul Slaver",COPIED,portrait orgoth oriax the soul slaver.png,"Oriax, the Soul Slaver.png",100,portrait orgoth oriax the soul slaver.png (100) | portrait cryx deneghra the soul weaver.png (80) | portrait minions gatorman soul slave.png (74),"'portrait orgoth oriax the soul slaver.png' → 'Oriax, the Soul Slaver.png'  (score 100)"
Orsus the Betrayed,COPIED,Orgoth_Orsus-the-Betrayed.png,Orsus the Betrayed.png,100,Orgoth_Orsus-the-Betrayed.png (100) | portrait khador orsus the chained.png (74) | Khador_The-Starved.png (69),'Orgoth_Orsus-the-Betrayed.png' → 'Orsus the Betrayed.png'  (score 100)
"Sabbreth, The Eternal Annihilation",COPIED,portrait orgoth sabbreth the enternal annihilation.png,"Sabbreth, The Eternal Annihilation.png",97,portrait orgoth sabbreth the enternal annihilation.png (97) | portrait mercenary annihilation servitors.png (65) | portrait retribution ravyn the eternal light.png (62),"'portrait orgoth sabbreth the enternal annihilation.png' → 'Sabbreth, The Eternal Annihilation.png'  (score 97)"
Azdharak,COPIED,Orgoth_Azhdarak.png,Azdharak.png,88,Orgoth_Azhdarak.png (88) | option southern kriels deep troll right arm hammerhead shark.png (75) | portrait khymaera shyryss the flawless dark.png (67),'Orgoth_Azhdarak.png' → 'Azdharak.png'  (score 88)
Jackal,COPIED,option orgoth jackal head advance deployment.png,Jackal.png,100,option orgoth jackal head advance deployment.png (100) | option orgoth jackal head arc node.png (100) | option orgoth jackal head berserk.png (100),'option orgoth jackal head advance deployment.png' → 'Jackal.png'  (score 100)
Molok,COPIED,option orgoth molok head molok.png,Molok.png,100,option orgoth molok head molok.png (100) | option orgoth molok left arm hand of ruin.png (100) | option orgoth molok right arm abyssal mace.png (100),'option orgoth molok head molok.png' → 'Molok.png'  (score 100)
Tyrant,COPIED,option orgoth tyrant head arcane vortex.png,Tyrant.png,100,option orgoth tyrant head arcane vortex.png (100) | option orgoth tyrant head hunter.png (100) | option orgoth tyrant head overtake.png (100),'option orgoth tyrant head arcane vortex.png' → 'Tyrant.png'  (score 100)
Gharlghast,COPIED,option orgoth gharlghast head frother.png,Gharlghast.png,100,option orgoth gharlghast head frother.png (100) | option orgoth gharlghast head spider.png (100) | option orgoth gharlghast left arm bile jet.png (100),'option orgoth gharlghast head frother.png' → 'Gharlghast.png'  (score 100)
Ravener,COPIED,portrait orgoth ravener.png,Ravener.png,100,portrait orgoth ravener.png (100) | portrait cryx scavenger.png (86) | portrait cygnar avenger.png (86),'portrait orgoth ravener.png' → 'Ravener.png'  (score 100)
"Anathia, the Imperishable Desolation",COPIED,Orgoth_Anathia.png,"Anathia, the Imperishable Desolation.png",67,Orgoth_Anathia.png (67) | portrait circle tanith the feral song.png (61) | Merc_Abberation.png (59),"'Orgoth_Anathia.png' → 'Anathia, the Imperishable Desolation.png'  (score 67)"
Grhotten Champion,COPIED,portrait orgoth grhotten champion.png,Grhotten Champion.png,100,portrait orgoth grhotten champion.png (100) | portrait legion virtue champion.png (80) | Khador_Liegemen-Ursan-Champion.png (74),'portrait orgoth grhotten champion.png' → 'Grhotten Champion.png'  (score 100)
Grhotten Keeper,COPIED,portrait orgoth grhotten keeper.png,Grhotten Keeper.png,100,portrait orgoth grhotten keeper.png (100) | portrait grymkin zevanna agha the fate keeper.png (75) | portrait skorne abidan the keeper.png (75),'portrait orgoth grhotten keeper.png' → 'Grhotten Keeper.png'  (score 100)
Halexus the Warlord,COPIED,portrait orgoth halexus the warlord.png,Halexus the Warlord.png,100,portrait orgoth halexus the warlord.png (100) | portrait mercenary magnus the warlord.png (85) | portrait mercenary cephalyx overlords.png (65),'portrait orgoth halexus the warlord.png' → 'Halexus the Warlord.png'  (score 100)
Reaver Commander,COPIED,portrait orgoth reaver commander.png,Reaver Commander.png,100,portrait orgoth reaver commander.png (100) | portrait dusk mage hunter commander.png (86) | portrait retribution eiryss mage hunter commander.png (86),'portrait orgoth reaver commander.png' → 'Reaver Commander.png'  (score 100)
Revenant Champion,COPIED,Orgoth_Revenant-Champion.png,Revenant Champion.png,100,Orgoth_Revenant-Champion.png (100) | Khador_Liegemen-Ursan-Champion.png (80) | portrait orgoth grhotten champion.png (79),'Orgoth_Revenant-Champion.png' → 'Revenant Champion.png'  (score 100)
Siege Tarask,COPIED,portrait orgoth siege tarask.png,Siege Tarask.png,100,portrait orgoth siege tarask.png (100) | portrait cygnar colonel markus siege brisbane.png (67) | portrait cygnar major markus siege brisbane.png (67),'portrait orgoth siege tarask.png' → 'Siege Tarask.png'  (score 100)
Therion Vhanek,COPIED,portrait orgoth therion vhanek.png,Therion Vhanek.png,100,portrait orgoth therion vhanek.png (100) | portrait convergence forge master syntherion.png (67) | portrait legion raek.png (67),'portrait orgoth therion vhanek.png' → 'Therion Vhanek.png'  (score 100)
Vulcar Forge Master,COPIED,portrait orgoth vulcar forge master.png,Vulcar Forge Master.png,100,portrait orgoth vulcar forge master.png (100) | portrait trollblood horgle forge master.png (82) | portrait convergence forge master syntherion.png (77),'portrait orgoth vulcar forge master.png' → 'Vulcar Forge Master.png'  (score 100)
Assault Reavers,COPIED,portrait orgoth assault reavers.png,Assault Reavers.png,100,portrait orgoth assault reavers.png (100) | Cygnar_Assault-Strider.png (73) | portrait crucible crucible guard assault troopers.png (73),'portrait orgoth assault reavers.png' → 'Assault Reavers.png'  (score 100)
Gnashers,COPIED,portrait orgoth gnashers.png,Gnashers.png,100,portrait orgoth gnashers.png (100) | portrait khymaera talon lashers.png (86) | portrait mercenary ghordson basher.png (77),'portrait orgoth gnashers.png' → 'Gnashers.png'  (score 100)
Reaver Skirmishers,COPIED,portrait orgoth reaver skirmisher.png,Reaver Skirmishers.png,97,portrait orgoth reaver skirmisher.png (97) | portrait-cygnar-Skirmisher.png (84) | portrait mercenary idrian skirmishers.png (82),'portrait orgoth reaver skirmisher.png' → 'Reaver Skirmishers.png'  (score 97)
Rhok Harriers,COPIED,portrait orgoth rhok harriers.png,Rhok Harriers.png,100,portrait orgoth rhok harriers.png (100) | portrait legion harrier.png (78) | portrait minions croak raiders.png (72),'portrait orgoth rhok harriers.png' → 'Rhok Harriers.png'  (score 100)
Strike Reavers,COPIED,portrait orgoth strike reavers.png,Strike Reavers.png,100,portrait orgoth strike reavers.png (100) | orgoth_dominatedstrikereavers.png (96) | portrait orgoth assault reavers.png (78),'portrait orgoth strike reavers.png' → 'Strike Reavers.png'  (score 100)
The Execrators,COPIED,Orgoth_Execrators3.png,The Execrators.png,96,Orgoth_Execrators3.png (96) | portrait cryx desecrator.png (72) | portrait mercenary magnus the traitor.png (72),'Orgoth_Execrators3.png' → 'The Execrators.png'  (score 96)
Ulkor Axers,COPIED,portrait orgoth ulkor axer.png,Ulkor Axers.png,95,portrait orgoth ulkor axer.png (95) | portrait orgoth ulkor barragers.png (73) | portrait trollblood troll axer.png (71),'portrait orgoth ulkor axer.png' → 'Ulkor Axers.png'  (score 95)
Ulkor Barragers,COPIED,portrait orgoth ulkor barragers.png,Ulkor Barragers.png,100,portrait orgoth ulkor barragers.png (100) | portrait orgoth ulkor axer.png (72) | portrait khador rager.png (70),'portrait orgoth ulkor barragers.png' → 'Ulkor Barragers.png'  (score 100)
Warwitch Coven,COPIED,portrait orgoth warwitch coven.png,Warwitch Coven.png,100,portrait orgoth warwitch coven.png (100) | portrait cryx the witch coven of garlghast.png (79) | portrait cryx warwitch deneghra.png (79),'portrait orgoth warwitch coven.png' → 'Warwitch Coven.png'  (score 100)
"Anathia, the Imperishable Desolation (Warlock)",COPIED,Orgoth_Anathia.png,"Anathia, the Imperishable Desolation (Warlock).png",67,Orgoth_Anathia.png (67) | portrait infernals desolator.png (57) | TA_Targ.png (57),"'Orgoth_Anathia.png' → 'Anathia, the Imperishable Desolation (Warlock).png'  (score 67)"
Barrow Ghoul,COPIED,Orgoth_Barrow-Ghoul.png,Barrow Ghoul.png,100,Orgoth_Barrow-Ghoul.png (100) | portrait grymkin grave ghoul.png (67) | portrait mercenary harlowe holdemhigh.png (67),'Orgoth_Barrow-Ghoul.png' → 'Barrow Ghoul.png'  (score 100)
Charnel Hound,COPIED,Orgoth_Charnel-Hound.png,Charnel Hound.png,100,Orgoth_Charnel-Hound.png (100) | Khador_The-Hounds.png (73) | Khador_The-Hounds-2.png (73),'Orgoth_Charnel-Hound.png' → 'Charnel Hound.png'  (score 100)
Admiral Boomhowler,COPIED,portrait southern kriels admiral boomhowler.png,Admiral Boomhowler.png,100,portrait southern kriels admiral boomhowler.png (100) | portrait mercenary greygore boomhowler.png (77) | portrait mercenary boomhowler solo artist.png (72),'portrait southern kriels admiral boomhowler.png' → 'Admiral Boomhowler.png'  (score 100)
Braghen Ragemonger,COPIED,portrait southern kriels braghen ragemonger.png,Braghen Ragemonger.png,100,portrait southern kriels braghen ragemonger.png (100) | portrait grymkin cage rager.png (67) | portrait mercenary raluk moorclaw the ironmonger.png (65),'portrait southern kriels braghen ragemonger.png' → 'Braghen Ragemonger.png'  (score 100)
